Aarubari;Tarkhagal;Simaltar Gumba;Kailash Bodhi School;Ramhiti;Mahankal;Pani Tankey;Chuchepati;Chabhahil Chowk;Mitra Park;Jaya Bageswori;Gausala Chowk;Ratopul;Gyaneshwor;Maitidevi;Dillibazar;Charkhal;Putalisadak;Bagbazar;Ratnapark;Purano Buspark;Bhrikutimandap;Bhadrakali Mandir;Sahid Gate;Sundhara;NAC Bus Stop;;;;;;;;;;;;;;;;;;;;
Chardobaato, Bode;Chapali;APF Camp;Manohara Bridge, Bode;Mulpani Pipalbot;Baba Chowk, Mulpani;Milan Chowk, Mulpani;Tiwari Tol, Mulpani;Mulpani Turning;Dakshindhoka;Narayantar;Jorpati;Chamunda Gate;Urab Bank, Jorpati;Boudha Pipalbot;Boudha Gate;Tusal, Boudha;Chuchepati;Chabhahil Chowk;Gopi Krishna Hall;Sukedhara Chowk;Dhumbarahi;Chappal Karkhana;Narayan Gopal Chowk;Teaching Hospital;;;;;;;;;;;;;;;;;;;;;
27.6899694;27.7803217;27.6664822;27.6751718;27.7034167;27.7128052;27.7156689;27.7109696;27.7109696;27.7214319;27.5006354;27.7278388;27.7217;27.7278388;27.7185948;27.7218575;27.7156757;27.719477;27.7172633;27.7222481;27.7282911;27.7252108;27.7346531;27.7403746;27.7359917;;;;;;;;;;;;;;;;;;;;;
85.3904307;85.3730428;85.4342499;85.355257;85.3100774999999;85.3935796;85.3982037;85.3988579;85.3988579;85.3840803;85.5946503;85.3782068;85.3715975;85.3782068;85.364032;85.3733173;85.3527933;85.3514989;85.346594;85.3468914;85.3459635;85.3433404;85.3422938;85.3375271;85.3302595;;;;;;;;;;;;;;;;;;;;;
Budhanilkantha, Narayanthan;Chapali;Chandranagar Chowk, HattiGauda;Hattigauda;Galfutar;Bansbari;Narayan Gopal Chowk;Teaching Hospital;Kanti Bal Hospital;Paani Pokhari;Lazimpat;Lazimpat Chowk;Lainchaur Chowk;Keshar Mahal;Kantipath;Jamal;Kamaladi;Ghantaghar;Ratnapark;Purano Buspark;Bhrikutimandap;Bhadrakali Mandir;Sahid Gate;Sundhara;Tripureshwor;Thapathali;Kupondole;Kandewatathan, Kupondole;Jwagal, Kupondole;Pulchowk College;Harihar bhawan, Pulchowk;Pulchowk;Alka Hospital;Jawalakhel, Ekantakuna;Jawalakhel;Manbhawan;Kumaripati;Patan Hospital;Lagankhel;;;;;;;
27.7836652;27.7803217;27.7553479;27.7553479;27.7458625;27.7427638;27.7403746;27.7359917;27.7346817;27.7363919;27.7215031;27.7215031;27.7213288;27.7146977;27.7056163;27.7092711;27.709047;27.7074644;27.7060531;27.7042474;27.7010226;27.7590715;27.6995727;27.7000078;27.6949964;27.6894055;27.6862181;27.6862181;27.6854217;27.6810911;27.680677;27.6782363;27.6741796;27.6677761;27.6744259;27.6687473;27.6699427;27.668302;27.6659949;;;;;;;
85.3702465;85.3730428;85.3478614;85.3478614;85.3485072;85.3433404;85.3375271;85.3302595;85.3284721;85.327837;85.3200837;85.3200837;85.3149142;85.3145067;85.3140632;85.3152373;85.3194374999999;85.3169032999999;85.3148081;85.3163779;85.3200837;85.3450963;85.3150649999999;85.311683;85.3149142;85.3226682999999;85.3149142;85.3149142;85.3186813;85.3184948;85.3132986;85.3168527999999;85.3151963;85.3103905;85.3123293;85.317499;85.3204068;85.3205683;85.3226682999999;;;;;;;
Budhanilkantha, Narayanthan;Shree Changunarayan High Schoo;Chandranagar Chowk, HattiGauda;Hattigauda;Galfutar;Bansbari;Narayan Gopal Chowk;Teaching Hospital;Kanti Bal Hospital;Paani Pokhari;Lazimpat;Lazimpat Chowk;Lainchaur Chowk;Keshar Mahal;Kantipath;Jamal;Kamaladi;Ghantaghar;Ratnapark;Purano Buspark;Bhrikutimandap;Bhadrakali Mandir;Sahid Gate;Sundhara;NAC Bus Stop;;;;;;;;;;;;;;;;;;;;;
27.7836652;27.7032983;27.7553479;27.7553479;27.7458625;27.7427638;27.7403746;27.7359917;27.7346817;27.7363919;27.7215031;27.7215031;27.7213288;27.7146977;27.7056163;27.7092711;27.709047;27.7074644;27.7060531;27.7042474;27.7010226;27.7590715;27.6995727;27.7000078;27.702504;;;;;;;;;;;;;;;;;;;;;
85.3702465;85.4323991;85.3478614;85.3478614;85.3485072;85.3433404;85.3375271;85.3302595;85.3284721;85.327837;85.3200837;85.3200837;85.3149142;85.3145067;85.3140632;85.3152373;85.3194374999999;85.3169032999999;85.3148081;85.3163779;85.3200837;85.3450963;85.3150649999999;85.311683;85.3135183;;;;;;;;;;;;;;;;;;;;;
Changunarayan Bus Park;Nyacho Pauwa;Mahankal Chowk, Duwakot;Tripura Sundari Devithan, Duwakot;KMC Hospital, Duwakot;Sallaghari, Purano Thimi;Sallaghari, Byasi;Sallaghari, Suryabinayak;Srijana Nagar;Radhe Radhe, Bhaktapur;Naya Thimi, Bus Stand;Chardobato, Naya Thimi;Gaththaghar;Kausaltar;Lokanthali;Jadibuti;Koteshwor;Kuleshwor Tinkune;Shantinagar;Minbhawan;Naya Baneshwor;Buddhanagar;Babarmahal;Maitighar;Singhadurbar;Bhadrakali Mandir;Sahid Gate;Sundhara;NAC Bus Stop;Bir Hospital;Bhotahiti;Ratnapark;Purano Buspark;;;;;;;;;;;;;
